Region,Country,Both sexes,Female,Male
Eastern Mediterranean,Afghanistan,0.7,0.3,1
Eastern Mediterranean,Bahrain,8.8,3.8,11.5
Eastern Mediterranean,Djibouti,19.7,11.1,28.2
Eastern Mediterranean,Egypt,2.8,1.4,4.2
Eastern Mediterranean,Iran (Islamic Republic of),3.5,1.1,6
Eastern Mediterranean,Iraq,3.1,1.5,4.7
Eastern Mediterranean,Jordan,3,1.4,4.5
Eastern Mediterranean,Kuwait,0.6,0.2,0.8
Eastern Mediterranean,Lebanon,6.1,3,9.2
Eastern Mediterranean,Libya,0.1,0.1,0.2
Eastern Mediterranean,Morocco,2.6,1.3,3.9
Eastern Mediterranean,Oman,8.3,3.3,10.4
Eastern Mediterranean,Pakistan,1.2,0.6,1.8
Eastern Mediterranean,Qatar,45.6,25.2,52.1
Eastern Mediterranean,Saudi Arabia,5.8,3.5,7.3
Eastern Mediterranean,Somalia,31,19.4,43.2
Eastern Mediterranean,Sudan,2.3,1.1,3.4
Eastern Mediterranean,Syrian Arab Republic,2,0.7,3.4
Eastern Mediterranean,Tunisia,5.2,1.6,8.9
Eastern Mediterranean,United Arab Emirates,18.5,7.9,21.7
Eastern Mediterranean,Yemen,0.7,0.3,1.1
Europe,Albania,51,37.6,65
Europe,Andorra,74.6,64.3,85.2
Europe,Armenia,26,16.2,38
Europe,Austria,78.1,68.9,87.7
Europe,Azerbaijan,21.9,12.8,31.6
Europe,Belarus,73.6,69.2,79
Europe,Belgium,76.5,66.8,86.6
Europe,Bosnia and Herzegovina,47.9,34,62.1
Europe,Bulgaria,66,53.9,79.2
Europe,Croatia,59.7,46.8,73.9
Europe,Cyprus,68.8,56.6,80.6
Europe,Czechia,75.4,65.4,86
Europe,Denmark,74.4,64.2,85
Europe,Estonia,72.8,62.6,84.9
Europe,Finland,72.5,61.7,83.8
Europe,France,75.3,65.6,85.8
Europe,Georgia,35.1,23,48.9
Europe,Germany,79.4,70.6,88.5
Europe,Greece,65.4,53.3,78.3
Europe,Hungary,66.6,54.8,79.9
Europe,Iceland,71.5,60.3,82.6
Europe,Ireland,81.3,73.1,89.5
Europe,Israel,55,41.6,68.9
Europe,Italy,67.8,54.4,81.2
Europe,Kazakhstan,39.9,27.2,54.3
Europe,Kyrgyzstan,25.9,15.5,36.8
Europe,Latvia,75,65.5,86.5
Europe,Lithuania,79.1,70.9,89.1
Europe,Luxembourg,91.8,87.7,95.8
Europe,Malta,63,50,76.2
Europe,Montenegro,54,40.4,68.2
Europe,Netherlands,72.1,61.2,83.3
Europe,Norway,79,69.8,88
Europe,Poland,68,56.4,80.7
Europe,Portugal,69.2,58.3,81.6
Europe,Republic of Moldova,66.6,54.8,79.6
Europe,Romania,67.2,55.5,80.1
