,Country,tot_alcohol_consumption_per_capita_liters,gdp_per_capita,Population,Region
9598,Central African Republic,2.430000066757202,852.7492065429688,4819341.0,Africa
9857,Chad,1.4500000476837158,1857.10791015625,14140277.0,Africa
10117,Chile,9.260000228881836,24440.416015625,17870122.0,South America
10376,China,7.150000095367432,12612.3515625,1393715456.0,Asia
10637,Colombia,5.78000020980835,14095.748046875,47119728.0,South America
10896,Comoros,0.8799999952316284,2959.498046875,730221.0,Africa
11136,Congo,7.900000095367432,5224.30224609375,5064390.0,Africa
11480,Costa Rica,4.760000228881836,19141.68359375,4895241.0,North America
11739,Cote d'Ivoire,2.609999895095825,4417.150390625,23596738.0,Africa
11998,Croatia,9.06999969482422,24884.666015625,4254821.0,Europe
12588,Cyprus,10.760000228881836,34453.1171875,1187286.0,Europe
12847,Czechia,14.25,36168.41796875,10523801.0,Europe
13107,Democratic Republic of Congo,2.049999952316284,1065.242431640625,78656904.0,Africa
13366,Denmark,10.359999656677246,52892.64453125,5677795.0,Europe
13625,Djibouti,0.4900000095367431,4488.802734375,1006266.0,Africa
13884,Dominica,11.31999969482422,11873.7421875,70027.0,North America
14141,Dominican Republic,6.610000133514404,15328.359375,10405832.0,North America
14432,Ecuador,4.980000019073486,11896.375,16195904.0,South America
14691,Egypt,0.4000000059604645,10570.4453125,97723792.0,Africa
14950,El Salvador,3.5899999141693115,8143.326171875,6231072.0,North America
15209,Equatorial Guinea,9.079999923706056,28313.43359375,1346974.0,Africa
15728,Estonia,12.390000343322754,31038.8046875,1314658.0,Europe
15987,Eswatini,9.84000015258789,8307.7822265625,1133941.0,Africa
16246,Ethiopia,2.190000057220459,1779.0841064453125,102471896.0,Africa
17381,Fiji,3.3299999237060547,12569.064453125,917209.0,Oceania
17631,Finland,11.18000030517578,45072.58984375,5479457.0,Europe
17890,France,12.640000343322754,43345.78515625,63809768.0,Europe
18355,Gabon,9.56999969482422,15510.0390625,2028524.0,Africa
18614,Gambia,3.670000076293945,2058.658203125,2253137.0,Africa
18873,Georgia,9.609999656677246,12605.1396484375,3771135.0,Asia
19132,Germany,13.0600004196167,51159.296875,82073232.0,Europe
19391,Ghana,3.119999885559082,4785.99462890625,28870946.0,Africa
19724,Greece,10.489999771118164,28260.38671875,10806644.0,Europe
20087,Grenada,9.06999969482422,15142.0625,118994.0,North America
20552,Guatemala,2.549999952316284,8125.65576171875,16001105.0,North America
20885,Guinea,1.0700000524520874,2087.93505859375,11626003.0,Africa
21144,Guinea-Bissau,5.050000190734863,1800.0633544921875,1788931.0,Africa
21403,Guyana,7.349999904632568,11261.779296875,755043.0,South America
21662,Haiti,2.690000057220459,3102.344970703125,10563762.0,North America
22215,Honduras,3.490000009536743,5283.4169921875,9294510.0,North America
22733,Hungary,11.600000381469728,27531.64453125,9844250.0,Europe
22992,Iceland,8.739999771118164,52142.93359375,331068.0,Europe
23251,India,5.539999961853027,5464.39404296875,1322866560.0,Asia
23510,Indonesia,0.6000000238418579,10149.603515625,259091968.0,Asia
23769,Iran,1.0099999904632568,12698.109375,81790848.0,Asia
24028,Iraq,0.3700000047683716,9946.9765625,37757812.0,Asia
24287,Ireland,12.470000267028809,71508.734375,4665764.0,Europe
24620,Israel,3.859999895095825,37306.1328125,8007777.0,Asia
24879,Italy,7.590000152587891,40247.828125,60232908.0,Europe
25138,Jamaica,4.190000057220459,9473.1064453125,2794455.0,North America
25390,Japan,7.869999885559082,40402.58203125,127250936.0,Asia
25723,Jordan,0.6899999976158142,10145.8369140625,9494250.0,Asia
25982,Kazakhstan,4.659999847412109,24290.41796875,17835908.0,Asia
26241,Kenya,2.7699999809265137,4075.501953125,46851496.0,Africa
26500,Kiribati,0.5199999809265137,2168.999267578125,116717.0,Oceania
26796,Kuwait,0.003000000026077,54834.390625,3908745.0,Asia
27055,Kyrgyzstan,7.590000152587891,4805.14111328125,5914985.0,Asia
27314,Laos,10.050000190734863,6543.6708984375,6787420.0,Asia
27676,Latvia,12.640000343322754,26628.458984375,1991951.0,Europe
27935,Lebanon,1.649999976158142,16358.3759765625,6398941.0,Asia
28194,Lesotho,4.800000190734863,2701.421875,2118532.0,Africa
28453,Liberia,5.699999809265137,1630.5843505859375,4612330.0,Africa
28712,Libya,0.0289999991655349,11022.4296875,6192241.0,Africa
29230,Lithuania,15.380000114440918,30748.197265625,2963764.0,Europe
30100,Luxembourg,13.18000030517578,113182.7265625,569415.0,Europe
30443,Madagascar,1.8799999952316284,1546.7672119140625,24850912.0,Africa
30702,Malawi,3.619999885559082,1457.503662109375,16938944.0,Africa
30961,Malaysia,0.8500000238418579,24787.82421875,31068834.0,Asia
31220,Maldives,2.069999933242798,17283.97265625,435590.0,Asia
31442,Mali,1.25,2139.736328125,18112910.0,Africa
31701,Malta,7.559999942779541,39845.140625,456585.0,Europe
32300,Mauritania,0.032999999821186,5024.46728515625,3946225.0,Africa
32559,Mauritius,3.940000057220459,19897.474609375,1293159.0,Africa
32890,Mexico,4.920000076293945,19268.9140625,120149896.0,North America
33149,Micronesia (country),2.440000057220459,3448.3037109375,109477.0,Oceania
33434,Moldova,11.869999885559082,10360.830078125,3277390.0,Europe
33915,Mongolia,10.970000267028809,11009.71484375,2964756.0,Asia
34172,Montenegro,10.920000076293944,18263.58984375,633969.0,Europe
34508,Morocco,0.699999988079071,7126.2841796875,34680456.0,Africa
34767,Mozambique,2.190000057220459,1262.6131591796875,26843252.0,Africa
35026,Myanmar,4.409999847412109,3663.142333984375,51483956.0,Asia
35286,Namibia,5.230000019073486,10662.830078125,2282709.0,Africa
35545,Nauru,3.7100000381469727,13551.962890625,11207.0,Oceania
35767,Nepal,2.049999952316284,3331.871826171875,27610328.0,Asia
36026,Netherlands,9.550000190734863,52974.1171875,17041110.0,Europe
36472,New Zealand,10.4399995803833,41086.1171875,4590591.0,Oceania
36709,Nicaragua,5.03000020980835,5630.2958984375,6298610.0,North America
36968,Niger,0.550000011920929,1131.5191650390625,20128132.0,Africa
37227,Nigeria,10.8100004196167,5514.7705078125,183995776.0,Africa
38077,North Macedonia,5.929999828338623,15139.251953125,2107965.0,Europe
38483,Norway,7.519999980926514,62987.515625,5190357.0,Europe
39073,Oman,0.7699999809265137,34564.921875,4191784.0,Asia
39332,Pakistan,0.2899999916553497,4278.3466796875,210969296.0,Asia
40035,Panama,7.710000038146973,28430.984375,3957102.0,North America
40294,Papua New Guinea,1.3899999856948853,4083.75244140625,8682172.0,Oceania
40553,Paraguay,7.260000228881836,11828.1396484375,6177954.0,South America
40813,Peru,6.630000114440918,12110.2666015625,30711864.0,South America
41072,Philippines,6.699999809265137,7300.13623046875,103031360.0,Asia
41332,Poland,11.630000114440918,27797.05859375,38553148.0,Europe
41591,Portugal,11.880000114440918,31118.791015625,10365436.0,Europe
41970,Qatar,1.6200000047683716,95965.25,2414580.0,Asia
42329,Romania,11.640000343322754,23878.171875,19906078.0,Europe
42588,Russia,12.470000267028809,25488.095703125,144668384.0,Europe
42847,Rwanda,9.260000228881836,1889.1580810546875,11642963.0,Africa
43267,Saint Kitts and Nevis,8.880000114440918,23966.498046875,47814.0,North America
43515,Saint Lucia,9.960000038146973,14057.607421875,175638.0,North America
43958,Saint Vincent and the Grenadines,8.460000038146973,11973.353515625,106493.0,North America
44207,Samoa,2.5899999141693115,5996.84228515625,203586.0,Oceania
44678,Sao Tome and Principe,7.190000057220459,3794.358642578125,201142.0,Africa
44937,Saudi Arabia,0.2000000029802322,48921.21484375,32749838.0,Asia
45197,Senegal,0.7300000190734863,2966.455322265625,14356191.0,Africa
45454,Serbia,8.699999809265137,15578.208984375,7519501.0,Europe
45717,Seychelles,18.350000381469727,25583.552734375,99260.0,Africa
45939,Sierra Leone,5.630000114440918,1543.7120361328125,7314779.0,Africa
46198,Singapore,2.069999933242798,89519.734375,5650020.0,Asia
46529,Slovakia,11.529999732971191,28719.86328125,5424449.0,Europe
46788,Slovenia,12.739999771118164,33799.7265625,2080865.0,Europe
47047,Solomon Islands,1.5499999523162842,2518.6474609375,612670.0,Oceania
47306,Somalia,0.0130000002682209,1026.0382080078125,13763909.0,Africa
47566,South Africa,9.609999656677246,14010.1044921875,55876504.0,Africa
48116,South Korea,10.039999961853027,38828.7421875,50994396.0,Asia
48600,Spain,11.31999969482422,37377.06640625,46431344.0,Europe
48859,Sri Lanka,4.099999904632568,11890.5166015625,21336692.0,Asia
49146,Sudan,0.5199999809265137,4630.1552734375,38171172.0,Africa
49408,Suriname,5.809999942779541,19317.0546875,575478.0,South America
49720,Sweden,9.130000114440918,50928.96484375,9849344.0,Europe
49979,Switzerland,11.579999923706056,68025.921875,8281735.0,Europe
50756,Tajikistan,3.109999895095825,2984.494873046875,8524066.0,Asia
51015,Tanzania,11.050000190734863,2354.138916015625,52542824.0,Africa
51274,Thailand,8.359999656677246,16285.38671875,70294408.0,Asia
51533,Timor,2.009999990463257,3295.3037109375,1205822.0,Asia
51792,Togo,2.369999885559082,1920.4693603515625,7473232.0,Africa
52128,Tonga,0.6800000071525574,5944.45263671875,106140.0,Oceania
52379,Trinidad and Tobago,6.880000114440918,29053.333984375,1460180.0,North America
52623,Tunisia,1.9900000095367432,11112.853515625,11557779.0,Africa
52882,Turkey,2.119999885559082,25958.640625,79646176.0,Asia
53141,Turkmenistan,5.300000190734863,12993.5322265625,5766427.0,Asia
53507,Tuvalu,1.9800000190734863,3720.305419921875,10896.0,Oceania
53731,Uganda,15.140000343322754,2067.5888671875,37477356.0,Africa
53990,Ukraine,10.15999984741211,11216.1181640625,44982568.0,Europe
54249,United Arab Emirates,3.7899999618530273,65267.4140625,8916909.0,Asia
54508,United Kingdom,11.210000038146973,45041.05859375,65224368.0,Europe
54768,United States,9.81999969482422,58540.296875,324607776.0,North America
55430,Uruguay,6.989999771118164,22425.830078125,3402820.0,South America
55689,Uzbekistan,2.5899999141693115,6401.115234375,30949416.0,Asia
55948,Vanuatu,2.140000104904175,2915.700439453125,276450.0,Oceania
56678,Vietnam,7.860000133514404,6438.259765625,92191400.0,Asia
57651,Zambia,6.889999866485596,3443.55322265625,16248231.0,Africa
57911,Zimbabwe,4.920000076293945,3707.62255859375,14154937.0,Africa
